n,gamma,beta_partial,energy_mean_partial,Jminus1_over_gamma
479,784.2888226124655,0.028801176139393262,0.022045413856556745,0.09298754820420724
480,785.739089700715,0.028801698325249463,0.022045800688041232,0.09302106872227776
481,786.4611474505062,0.028802298330853442,0.02204624521605074,0.09317160580328218
482,787.46846381591,0.028802404613971128,0.022046323939044578,0.09309426957657574
483,790.0590923641196,0.028802530617299284,0.022046417056343175,0.0928387856037188
484,790.8316204679211,0.028802796482318784,0.022046613361308774,0.09285322281291881
485,792.4277076086046,0.028804001971831618,0.02204750209262458,0.09314383211844542
486,792.8886525626226,0.028805177411571146,0.02204836840919683,0.09355567965408992
487,794.4837918698931,0.028805349935487265,0.02204849551733347,0.09343637528851609
488,795.6065961561624,0.028805452876280904,0.022048571392569678,0.0933454628814465
489,797.2634700380356,0.028805514884987338,0.02204861716419567,0.09317619087856595
490,798.7075701662963,0.028805646469161113,0.022048714448213068,0.09306027268603555
491,799.6543362108977,0.028805766297063943,0.022048803124251,0.09299800266620813
492,801.604246462982,0.028806029116423555,0.022048997825057183,0.09287712270392968
493,802.5419848784181,0.02880701599055141,0.02204972887156331,0.09316460359149625
494,803.2430962042702,0.028807646719123947,0.022050195957194547,0.09333659908278508
495,804.7622391126617,0.028807780405632987,0.022050294835790636,0.09321420131786898
496,805.8616356670948,0.028807836922548277,0.022050336587733782,0.0931098062804416
497,808.1518149359938,0.028807930044045676,0.02205040523242994,0.09288357542572016
498,809.1977833633007,0.028808352208271253,0.022050716290355935,0.09293432143113861
499,810.0818048864071,0.028808854123874697,0.022051086105664426,0.09303620101312839
500,811.1843588465063,0.02880906283856429,0.022051239959026057,0.09299440018364365
501,812.7711083891094,0.02880919205057422,0.022051335339409627,0.0928653598182079
502,814.045913607511,0.02880942600919812,0.022051508280274818,0.09281515816857709
503,814.8705396258725,0.02880956641348978,0.022051612153680906,0.09277843752656775
504,816.7277377143947,0.028809607550592007,0.022051642624601527,0.09258426290546408
505,818.3806688663617,0.02880979567161081,0.022051781955568575,0.09247424240295199
506,819.2046421708238,0.028810087132088852,0.02205199772237475,0.09250061279263143
507,820.7218984438692,0.028810508147012446,0.02205230896224513,0.09250237644392455
508,821.7134541333794,0.028811854150726287,0.022053302941838968,0.09294376937969862
509,822.1977574934043,0.02881249587996472,0.022053776596792904,0.0931528365026939
510,824.5262938716297,0.028812530107740483,0.022053801818722282,0.09290387537377441
511,826.0392873765744,0.028812680837110347,0.022053912897202637,0.09279596460575447
512,826.9058109540807,0.02881289332131013,0.022054069559278616,0.09278657494879282
513,828.3401743004899,0.028813077999374093,0.022054205895472433,0.09270239280911739
514,829.4370109683093,0.028813268089333165,0.022054346391785343,0.09265863822828016
515,830.8958840533174,0.028813523927096032,0.022054535746053185,0.09260223705283835
516,831.7997776590706,0.028813773907387014,0.022054720871352757,0.09260557559883253
517,833.0036409091542,0.02881385082225228,0.02205477784652818,0.09250377650373712
518,834.6519151478255,0.02881388143520752,0.022054800509081204,0.09233387522829721
519,836.6935761875918,0.02881426241554176,0.02205508200784552,0.09226794832450994
520,837.3473350595315,0.02881529014715969,0.02205584085056853,0.09262619444959236
521,838.2490219927322,0.028815830286018525,0.02205623931975754,0.09275294390598354
522,839.4653948102824,0.028815986419155653,0.02205635440239474,0.09268408048181256
523,841.0363898290134,0.02881608862547342,0.022056429715825502,0.09255393296856723
524,842.0413542065264,0.028816156040569908,0.022056479410782218,0.09247185432580288
525,844.1661966073508,0.02881634344166564,0.02205661780645871,0.09231819319691896
526,844.8059939757637,0.028816618375536375,0.0220568209825735,0.09236441074268902
527,846.194769927694,0.028816718287189944,0.022056894916477787,0.09225509452630969
528,847.971717639512,0.02881739045652241,0.02205739278624828,0.09234676186667443
529,848.4892811809435,0.028818253877720964,0.022058032340372756,0.09265673390904829
530,849.8622743486978,0.0288185416376094,0.022058245397659455,0.09262932070100201
531,850.645448466004,0.02881865617563086,0.02205833015433637,0.09259275417499134
532,853.1631125833892,0.02881872727185895,0.02205838263309139,0.09234984350276688
533,854.095511719869,0.02881892550191335,0.02205852883208372,0.09233368073846966
534,855.286710244405,0.02881917931270988,0.022058715892823655,0.09231362376266505
535,856.4841174907916,0.02881957990951243,0.0220590110950177,0.0923561171991973
536,857.3107406026038,0.028819829922787032,0.022059195378016164,0.09237423655902946
537,858.9040264664757,0.02881990102669699,0.022059247849149647,0.09223341604572691
538,860.4106708960147,0.028820044586324808,0.022059353951069987,0.09213366846816505
539,861.1710982127154,0.028820153486930674,0.022059434497728448,0.09209920406571141
540,863.1897197719089,0.028820219886856492,0.022059483673996464,0.09191248236246233
541,864.3408239300695,0.028820390072401433,0.02205960972337624,0.09186362515339286
542,865.594664326516,0.028820813215452747,0.022059922960823087,0.09191369312213875
543,866.4237399040427,0.02882123858633523,0.022060237645624554,0.09201001724814184
544,867.693122611785,0.028821434323183806,0.022060382270052005,0.09196033192891312
545,868.6704942291316,0.028821505394166575,0.02206043473044617,0.09188773277961787
546,870.8469023257541,0.02882154478611749,0.022060463763266074,0.09167524045973341
547,872.1887508216132,0.02882176320028654,0.022060624727277493,0.09162944878495648
548,873.098978971282,0.02882225386561873,0.022060986462502902,0.09174812249757261
549,873.9083892353375,0.02882248999294913,0.02206116064176011,0.09176632263475623
550,875.9852851087803,0.02882284127929524,0.02206142028894435,0.09170261240308784
551,876.6008258330274,0.02882336742187592,0.02206180941062073,0.09186882829023778
552,877.6546983410335,0.02882348347878683,0.022061895316475063,0.09180944276101721
553,879.380951969791,0.028823519271530144,0.022061921826512513,0.09164495554943018
554,880.8346488479394,0.028823566552140623,0.022061956830785715,0.09151453131601518
555,882.3866966271964,0.028823741727668915,0.02206208636572104,0.09143085086156148
556,883.4303318387016,0.02882439525053119,0.022062569116473998,0.09161151061722195
557,884.1987431145948,0.02882501469948366,0.022063026350315987,0.09180575388419987
558,885.2723044796171,0.028825164641015213,0.022063136927341732,0.09176079147704069
559,886.8528019629163,0.028825204092967276,0.022063166002255313,0.09161475477405762
560,888.4755666738172,0.028825255286732555,0.022063203743019868,0.0914701663394842
